propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,externalReference,district,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
107724800,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ee/3e/8e/1320938364.webp,3,5,2100000.0,flat,sale,150.0,True,3,3,Barrio Castellana,Madrid,Madrid,es,40.4355084,-3.6825107,False,https://www.idealista.com/inmueble/107724800/,"Magnífico piso recién reformado con muchísima luz, con muy buenas calidades y acabados. Contra de tres dormitorios dos de ellos en suite. Con plaza de garaje. Excelente ubicación.",False,good,False,True,14000.0,False,False,False,False,[],False,False,2100000.0,€,flat,"Castellana, Madrid",Piso,,,Barrio de Salamanca,Castellana,True,True,,,,
105300050,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/78/4d/1271501825.webp,3,4,4350000.0,flat,sale,230.0,True,3,4,Barrio Recoletos,Madrid,Madrid,es,40.4252165,-3.682406,False,https://www.idealista.com/inmueble/105300050/,"Fantástico piso en Recoletos de 235m2, precioso edificio clasico en fantástica ubicación en Recoletos. Recién reformado con una excelente labor de interiorismo. Destaca por su impresionante luminosidad. Tres dormitorios con tres cuartos de baño.",False,good,False,True,18913.0,False,False,False,False,[],False,False,4350000.0,€,flat,"Recoletos, Madrid",Piso,,,Barrio de Salamanca,Recoletos,,,,,,
105971399,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/3a/24/1268594163.webp,3,4,3450000.0,flat,sale,260.0,True,3,4,Barrio Goya,Madrid,Madrid,es,40.4243926,-3.6778664,False,https://www.idealista.com/inmueble/105971399/,"Fantástico piso recien reformado con altas calidades y muy buenos acabados en impresionante edificio clásico. Recién reformado, destaca por sus numerosos balcones a la calle y su luminosidad. Consta de tres dormitorios con cuatro cuartos de baño.",False,good,False,True,13269.0,False,False,False,False,[],False,False,3450000.0,€,flat,"Goya, Madrid",Piso,,,Barrio de Salamanca,Goya,,,,,,
108870402,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/91/41/72/1357527523.webp,1,,5500000.0,chalet,sale,1350.0,,5,4,Barrio Conde Orgaz-Piovera,Madrid,Madrid,es,40.4580933,-3.6388399,False,https://www.idealista.com/inmueble/108870402/,"¡Gran oportunidad! Ubicado en una de las calles más prestigiosas, este chalet independiente representa la cumbre del lujo residencial en Madrid. Con un diseño arquitectónico imponente y equipamiento de alta gama, esta propiedad está destinada a inversores o familias que buscan privacidad, seguridad y revalorización en una zona históricamente elitista. Si quieres más información, contáctenos.",False,good,False,,4074.0,False,False,False,False,[],False,False,5500000.0,€,chalet,"Conde Orgaz-Piovera, Madrid",Casa independiente,independantHouse,,Hortaleza,Conde Orgaz-Piovera,,,,,,
108906656,,0,,1325000.0,chalet,sale,445.0,,5,4,calle Gutiérrez Canales,Madrid,Madrid,es,40.450342,-3.6151736,False,https://www.idealista.com/inmueble/108906656/,"Se vende espectacular adosado en el barrio de Canillejas con una superficie total construida de 445 m². Esta amplia vivienda está distribuida en cinco dormitorios y cuatro baños, lo que la convierte en una opción ideal para familias numerosas o quienes buscan espacio y confort. La propiedad se encuentra en buen estado de conservación y cuenta con una cocina completamente equipada, armarios empotrados en varias estancias y sistema de aire acondicionado. Dispone de calefacción central y bomba de calor/frío, garantizando una temperatura agradable durante todo el año. Como extras, incluye un trastero y plaza de estacionamiento, ofreciendo soluciones prácticas para el almacenamiento y el vehículo familiar. Características exteriores y zonas comunes El inmueble se destaca por sus espacios al aire libre: un amplio jardín privado, piscina y una acogedora terraza donde disfrutar del buen tiempo. También cuenta con un balcón, ideal para relajarse o tomar el aire. El edificio dispone de ascensor, lo que facilita el acceso a todas las plantas. Ubicación Situado en el distrito de Canillejas, en una zona residencial tranquila y bien comunicada. El entorno ofrece acceso a todos los servicios necesarios: colegios, supermercados, transporte público, zonas verdes y deportivas. Es una ubicación ideal para quienes desean vivir en una zona urbana pero con la comodidad de un entorno familiar y residencial.",False,good,False,,2978.0,False,False,False,False,[],False,False,1325000.0,€,chalet,"Canillejas, Madrid",Chalet adosado en calle Gutiérrez Canales,terracedHouse,eca412b4-ab1a-4622-8320-8ce097af8b0c,San Blas,Canillejas,True,True,,,,
108950350,,0,2,180000.0,flat,sale,85.0,True,3,1,Barrio Casco Antiguo,Madrid,Alcorcón,es,40.3463734,-3.8256993,False,https://www.idealista.com/inmueble/108950350/,"Situado junto a Avda. Alcalde José Aranda y Calle Polvoranca, estupendo piso para vivir o como inversión, consta de salón independiente y de 3 dormitorios y con posibilidad de hacer otro dormitorio más si se necesita o para sacar mayor rentabilidad, con muchas mejoras y reformas, incluida la fachada impermeabilizada y aislada térmica y acústicamente con SATE hace un año aproximadamente. Ven a visitarlo! , seguro que es lo que necesitas y estás buscando.",False,good,False,False,2118.0,False,False,False,False,[],False,False,180000.0,€,flat,"Casco Antiguo, Alcorcón",Piso,,,Centro,Casco Antiguo,,,,,,
107562516,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/9c/5c/1316250234.webp,2,bj,118650.0,flat,sale,86.0,,3,1,Reyes Católicos,Madrid,Alcalá de Henares,es,40.4764697,-3.384624,False,https://www.idealista.com/inmueble/107562516/,"Oportunidad de inversión: inmueble alquilado. Renta actual: 440.22 €/mes. Fecha de fin de contrato: 08/2027.  Piso en venta ubicado en CALLE PONCE DE LEON, ALCALÁ DE HENARES. Superficie de 86 m2. 3 habitaciones  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,,1380.0,False,False,False,False,[],False,False,118650.0,€,flat,"Reyes Católicos, Alcalá de Henares",Piso,,52719365,Reyes Católicos,,,,131500.0,12850.0,10.0,
108058810,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/01/78/1332582189.webp,2,1,159500.0,flat,sale,54.0,,2,1,Barrio Vista Alegre,Madrid,Madrid,es,40.3821844,-3.7466246,False,https://www.idealista.com/inmueble/108058810/,"Oportunidad de inversión: inmueble alquilado. Fecha de fin de contrato: 06/2027.  ¡Oportunidad para comprar tu Piso! Situado en CALLE SAN MELITON MADRID, cuenta de una superficie de 54 m2, 2 habitaciones.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,,2954.0,False,False,False,False,[],False,False,159500.0,€,flat,"Vista Alegre, Madrid",Piso,,VI-000-030-659-706,Carabanchel,Vista Alegre,,,167000.0,7500.0,4.0,
108355150,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/b8/99/1314157505.webp,23,1,202601.0,flat,sale,79.0,True,2,2,"Poligono UZP0202 los Cerros, 342",Madrid,Madrid,es,40.40734,-3.53571,True,https://www.idealista.com/obra-nueva/108355150/,"TALIAS: ÚLTIMAS VIVIENDAS VPPB El equipo comercial estará de vacaciones durante el mes de agosto. Retomaremos el contacto contigo a partir del 2 de septiembre. ¡Gracias por tu interés! Si buscas una vivienda protegida en Madrid que combine calidad, diseño y sostenibilidad, Talias es tu oportunidad. Tras el éxito de Menfis y Nosia, Aurora Homes presenta la tercera cooperativa en el innovador desarrollo de Los Cerros (fase 1), con 107 viviendas VPPB de 2 y 3 dormitorios. Un Proyecto Exclusivo y Renovado En Talias hemos cuidado cada detalle para ofrecerte un hogar moderno y funcional: •Diseño Exterior y Distribución: Todas las viviendas son exteriores, lo que garantiza la entrada de luz natural y conexión con el entorno. Cada unidad dispone de una amplia terraza, garaje y trastero, pensados para maximizar tu comodidad. •Zonas Comunes de Calidad: Talias cuenta con espacios comunitarios cuidadosamente diseñados, que incluyen piscina, zonas ajardinadas y un parque infantil. Estas áreas se han diseñado para optimizar la convivencia y el bienestar, aportando un toque fresco y contemporáneo. Acabados y Personalización: Los acabados de la vivienda son de gran calidad y ofrecen varias opciones de personalización que responden a las últimas tendencias en diseño interior. Estas mejoras no solo aportan modernidad, sino también una mayor eficiencia energética y un compromiso reforzado con la sostenibilidad. Como en todas las promociones que diseñamos y gestionamos, en Talias nos comprometemos con la eficiencia y el respeto al medio ambiente. La vivienda protegida VPPB se beneficia de soluciones de aislamiento térmico y acústico, sistemas de eficiencia energética y tecnologías sostenibles, garantizando un hogar confortable y responsable. Descubre Talias y forma parte de una comunidad en crecimiento en el nuevo barrio verde del sureste de Madrid. Con Aurora Homes, tu nueva vivienda protegida es el paso hacia un futuro de calidad y bienestar. Oficina de ventas en El Cañaveral CON CITA PREVIA: C/Cerro del Monte, 5 (entrada por Avda. Blas de Lezo). 28052 – Madrid. Horario de atención: de martes a sábado de 10 a 14h y de 15 a 19h. "".",False,newdevelopment,True,True,2565.0,False,False,False,False,[],False,False,202601.0,€,flat,"Los Cerros, Madrid","Piso en Poligono Uzp0202 los Cerros, 342",,P2 1ºF,Vicálvaro,Los Cerros,True,True,,,,False
108621346,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/c7/c8/1350201713.webp,5,,1600000.0,chalet,sale,335.0,,7,6,Barrio Valdebebas - Valdefuentes,Madrid,Madrid,es,40.4801916,-3.6328536,False,https://www.idealista.com/inmueble/108621346/,"Exclusiva propiedad de lujo situado en una zona tranquila y residencial de Hortaleza. La casa combina diseño a la ultima, confort y ubicación privilegiada con todos los servicios a un paso. Consta de 7 habitaciones y 6 baños, cocina y espacios muy amplios.  Jardín vanguardista y elegante. Techos y altura muy buenas. La piscina tiene 14m. Una propiedad muy elegante y única. Mejor ver.",False,good,False,,4776.0,False,False,False,False,[],False,False,1600000.0,€,chalet,"Valdebebas - Valdefuentes, Madrid",Casa independiente,independantHouse,,Hortaleza,Valdebebas - Valdefuentes,True,True,,,,
