propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,district,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108405440,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/97/49/db/1343595334.webp,10,870000.0,flat,sale,105.0,3,2,Barrio Ibiza,Madrid,Madrid,es,40.4186228,-3.675025,False,https://www.idealista.com/inmueble/108405440/,"Actualmente el inmueble se encuentra alquilado con un contrato de larga estancia, iniciado el día 21 de Julio de 2022, el inquilino paga 2.050€ mensuales.  ¡Descubre tu nuevo hogar en el corazón de Madrid! Este impresionante piso, ubicado en el emblemático barrio de Ibiza, te ofrece la combinación perfecta de modernidad y encanto clásico. A solo un paso de los históricos jardines de El Retiro, esta vivienda reformada a estrenar cuenta con 105 m² construidos y 90 m² útiles que se distribuyen en tres dormitorios y dos baños con ventana.  El salón es amplio y luminoso gracias a sus grandes ventanales que dan a un gran patio, y la cocina americana está completamente equipada con electrodomésticos de última generación. Disfruta de la comodidad del aire acondicionado en todas las estancias y de la calefacción central comunitaria. Los suelos de parquet espiga y gres porcelánico esmaltado en los baños aportan un toque de elegancia, mientras que las puertas lacadas en blanco y las ventanas climalit aseguran un aislamiento perfecto. Además, el piso cuenta con tres armarios empotrados vestidos al detalle, ideales para mantener todo en orden. Situado en una finca clásica con portero físico y ascensor, este octavo piso ofrece una excelente luminosidad. No pierdas la oportunidad de vivir en un entorno privilegiado con todas las comodidades modernas. ¡Ven a visitarlo y enamórate de tu futuro hogar! BIENVENIDO A CASA.",False,good,False,8286.0,False,False,False,False,[],False,False,870000.0,€,flat,,"Ibiza, Madrid",Piso,CIBIZA870.000,Retiro,,,8,False,Ibiza,True,,,
102564082,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/a9/7e/1265074962.webp,1,718000.0,chalet,sale,232.0,3,3,calle de Rafael Villa,Madrid,Madrid,es,40.4675846,-3.8195775,False,https://www.idealista.com/inmueble/102564082/,"Os damos la bienvenida a esta espaciosa casa situada en Madrid, diseñada para ofrecer comodidad y conveniencia en cada rincón. La propiedad se distribuye en tres habitaciones, un amplio salón-comedor, una cocina completamente equipada y tres baños. El entorno del inmueble es ideal para la vida familiar, ya que en sus alrededores se encuentran escuelas, supermercados y farmacias, asegurando que todos los servicios esenciales estén siempre a mano. Además, a solo 20 minutos caminando, se encuentran bancos y la estación de tren Majadahonda, facilitando los desplazamientos diarios. La ubicación es estratégica, ya que está a solo 18 minutos en coche del centro de Madrid, lo que permite disfrutar de la tranquilidad residencial sin renunciar a la cercanía con el corazón de la ciudad. En términos de accesibilidad, la propiedad dispone de múltiples conexiones y cuenta con fácil acceso a la M-40, una de las principales vías de comunicación de la ciudad, lo que garantiza una movilidad fluida tanto para el transporte privado como público. En Aliseda Inmobiliaria contamos con la mayor oferta de inmuebles al mejor precio garantizado. Te invitamos a descubrir nuestra amplia oferta inmobiliaria y a no perder la oportunidad de encontrar la casa perfecta para ti. Contacta con nosotros para más información y para programar una visita. (*) Algunas fotografías han sido mejoradas digitalmente o son recreaciones virtuales. La vivienda se vende sin amueblar.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,3095.0,False,False,False,False,[],False,False,718000.0,€,chalet,semidetachedHouse,"El Plantío, Madrid",Chalet pareado en calle de Rafael Villa,47811470,Moncloa,,,,,El Plantío,,,,
108648915,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/37/05/34/1351004020.webp,12,3200000.0,flat,sale,294.0,5,4,Barrio Castellana,Madrid,Madrid,es,40.4347886,-3.6789405,False,https://www.idealista.com/inmueble/108648915/,"Se vende magnifico 6º piso de 245 m2 útiles en edificio de los años 50, con un solo vecino por planta. Destaca por sus buenos espacios, buena altura de techos y luz. Tiene ademas una terraza muy agradable. El piso se encuentra en buen estado. Actualmente cuenta con 4 dormitorios y 3 baños. Se distribuye en hall, salón-comedor en dos estancias con acceso a una terraza de unos 10 m2, amplia cocina con habitación de servici, baño y puerta de servicio independiente.  En la zona de noche hay 3 dormitorios, con dos baños, más una sala de estar o despacho. Garaje en finca, aunque hay que mover un coche vecino para poder aparcar. Se accede desde el ascensor y el montacargas. Trastero de 7 m2. Portal reformado sin barreras arquitectónicas. Destaca el ancho pasillo de acceso a los dormitorios y el patio, muy amplio y abierto.  Portero en finca. Calefacción central. Visitar en horario de portería: de 8:30 a 14 y de 18:00 a 20:30.",False,renew,False,10884.0,False,False,False,False,[],False,False,3200000.0,€,flat,,"Castellana, Madrid",Piso,,Barrio de Salamanca,True,True,6,True,Castellana,True,,,
108205792,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/62/9c/1337066710.webp,1,120000.0,flat,sale,71.0,3,1,"calle Virgen del Rocío, 23",Madrid,Parla,es,40.2381023,-3.764148,True,https://www.idealista.com/inmueble/108205792/,Oportunidad de inversión: pendiente de Posesión. Oportunidad de inversión: inmueble con cargas. Vivienda Primero Letra A en CL VIRGEN DEL ROCIO 17 de Parla (Madrid). Consta de 3 dormitorios y 1 baño.,False,good,False,1690.0,False,False,False,False,[],False,False,120000.0,€,flat,,"Calle Pinto-San Roque, Parla","Piso en calle Virgen del Rocío, 23",2302##2302_0417_PE0001,Calle Pinto-San Roque,,,1,True,,False,,,
106923036,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9d/ce/b6/1297747923.webp,4,119500.0,flat,sale,72.0,2,1,"calle de Francisco Paíno, 10",Madrid,Madrid,es,40.3818821,-3.7293786,True,https://www.idealista.com/inmueble/106923036/,Venta de piso mediante Cesion de Remate judicial. NO es posible visitar la vivienda. Es exterior y cuenta con 2 habitaciones.,False,renew,False,1660.0,False,False,False,False,[],False,False,119500.0,€,flat,,"Abrantes, Madrid","Piso en calle de Francisco Paíno, 10",,Carabanchel,,,2,False,Abrantes,False,,,
106241955,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3a/29/ac/1294363591.webp,3,85000.0,flat,sale,108.0,1,1,calle Antigua,Madrid,Morata de Tajuña,es,40.2278463,-3.436929,False,https://www.idealista.com/inmueble/106241955/,"Os presentamos este espacioso piso ubicado en Morata de Tajuña, Madrid. La vivienda se distribuye en una habitación, salón-comedor, cocina y un baño. Ubicado en la 1a planta del edificio. Se encuentra en el centro de Morata de Tajuña. En sus alrededores encontramos supermercados, bancos, bibliotecas, farmacias, oficinas de correos y centros deportivos. En términos de accesibilidad, la propiedad dispone de múltiples conexiones y cuenta con fácil acceso a M-302. No te pierdas esta oportunidad de encontrar la casa perfecta para ti.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,787.0,False,False,False,False,[],False,False,85000.0,€,flat,,Morata de Tajuña,Piso en calle Antigua,49508126,,,,1,,,,,,
106045464,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/41/fb/1270877820.webp,2,449420.0,flat,sale,99.0,2,2,calle de Yécora,Madrid,Madrid,es,40.4447442,-3.5734822,False,https://www.idealista.com/inmueble/106045464/,"Oportunidad de inversión: inmueble alquilado. Renta actual: 824 €/mes. Fecha de fin de contrato: 08/2025.  Os presentamos este fantástico piso de obra nueva ubicado en Madrid. El inmueble se distribuye en dos habitaciones, salón-comedor, cocina y dos baños. La vivienda se encuentra en la 4a planta del edificio y además el piso cuenta con un trastero. En sus alrededores encontramos escuelas, supermercados, bancos y farmacias. A 20 minutos a pie encontramos bibliotecas, oficinas de correos, centros deportivos, varias paradas de autobús y la estación de metro Estadio Metropolitano. El inmueble está situado a 25 minutos en coche del centro de Madrid. En términos de accesibilidad, la propiedad dispone de múltiples conexiones y cuenta con fácil acceso a Autovía del Nordeste. En Aliseda Inmobiliaria tenemos la mayor oferta de inmuebles al mejor precio garantizado. Descubre nuestra amplia oferta inmobiliaria y no pierdas la oportunidad de encontrar la casa perfecta para ti.  Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,4540.0,False,False,False,False,[],False,False,449420.0,€,flat,,"Rejas, Madrid",Piso en calle de Yécora,CAN0000198308,San Blas,,,4,,Rejas,,,,
107168182,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/29/e9/1305018597.webp,7,295000.0,flat,sale,107.0,2,1,Villanueva de la Cañada,Madrid,Villanueva de la Cañada,es,40.4455677,-4.0038321,False,https://www.idealista.com/inmueble/107168182/,"Barchan Inmobiliaria vende Fantástico piso de dos dormitorios amplios con armario empotrado, cocina independiente con tendedero salón luminoso y recibidor, además cuenta con plaza de garaje calefacción de gas natural, ventanas de pvc el edificio tiene ascensor esta muy bien situado y es muy buen edificio. Ideal para vivir o para INVERSORES  Excelente ubicación, cerca de todos los servicios y comercios. No dejes pasar esta oportunidad única de adquirir un hogar que combina confort y rentabilidad. Actualmente esta alquilado hasta Noviembre  ¡VEN A VERLO!  ref: PIS_153.",False,good,False,2757.0,False,False,False,False,[],False,False,295000.0,€,flat,,"Villanueva de la Cañada, Villanueva de la Cañada",Piso,PIS_153,Villanueva de la Cañada,True,True,bj,True,,True,,,
108565603,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/fb/35/1348626350.webp,4,428000.0,chalet,sale,184.0,3,3,Cerro Alarcón,Madrid,Valdemorillo,es,40.4594521,-4.0958626,False,https://www.idealista.com/inmueble/108565603/,"Diseña tu casa ideal… desde los cimientos, nosotros te lo ponemos muy fácil ¿Y si en vez de buscar una casa ya hecha, la construyes desde cero con los mejores materiales y sistemas del mercado en eficiencia energética? Te ofrecemos la posibilidad de levantar una vivienda unifamiliar diseñada a tu gusto y tus necesidades y con los metros cuadrados que necesites para vivir. Nos adaptamos a cualquier posible diseño. En este caso hemos optado por una vivienda unifamiliar aproximadamente de 180m² en una parcela de 2.000 m² en Valdemorillo, pero el verdadero valor está en cómo se construye:  Un hogar eficiente, duradero y adaptado a ti, gracias a un sistema de construcción industrializada con tecnología de paneles SIP y acabados de alta calidad. Una construcción que marca la diferencia No todas las casas se construyen igual. La nuestra parte de una estructura eficiente y sólida, que reduce consumos energéticos, mejora el confort interior y minimiza tiempos de obra. ¿Qué hace especial esta construcción?  � Sistema Eco-SIP: Paneles estructurales con aislamiento térmico y acústico integrado.  � Montaje rápido y preciso: Menos residuos, menos errores, más calidad.  � Alta eficiencia energética: Vivienda pasiva, preparada para un consumo casi nulo.  � Durabilidad y confort: Materiales resistentes, confort acústico y temperatura constante. ¿Qué incluye? Todo lo esencial para entrar a vivir, con calidades que garantizan confort y bajo mantenimiento a largo plazo: ✔️ Estructura y cerramientos con paneles Eco-SIP  ✔️ Suelo a elegir: gres cerámico o laminado  ✔️ Ventanas de PVC con triple acristalamiento  ✔️ Acabados interiores en pladur y puertas MDF  ✔️ Cocina de 10 módulos y baño completo  ✔️ Instalación eléctrica y de fontanería  ✔️ Sistema de calefacción por aerotermia y suelo radiante Hazlo bien desde el principio. Construye un hogar que no solo se vea bien, sino que esté preparado para durar y cuidar de ti. Te acompañamos en todo el proceso: desde el diseño, los permisos, hasta la entrega final.  Contáctanos y empieza a construir con criterio. Este precio corresponde al modelo de vivienda elegido para esta parcela. Si deseas modificar el diseño, superficie o calidades, el presupuesto podrá ajustarse en función de los cambios. Consúltanos para estudiar otras opciones a medida. Gastos de project manager no incluidos. Este anuncio no es vinculante y puede contener errores. Se muestra con fines informativos y no tiene carácter contractual.",False,good,False,2326.0,False,False,False,False,[],False,False,428000.0,€,chalet,independantHouse,"Cerro Alarcón, Valdemorillo",Casa independiente,CY-428,Cerro Alarcón,,,,,,,,,
105961895,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/0f/62/1268301159.webp,1,190000.0,flat,sale,123.0,3,2,calle del Palo,Madrid,Griñón,es,40.2113836,-3.8516941,False,https://www.idealista.com/inmueble/105961895/,id: 194208 Deberá introducir este código para poder atenderle telefónicamente. Oportunidad de adquirir Vivienda en Cesión de remate! No dudes en contactar con nosotros a través de mensaje para que te informemos de todo! Vivienda Tipo duplex con superficie de 123 m2 situada en la mejor zona de Griñon. NOTA: Inmueble sin posesión. La adquisición del inmueble publicitado en este anuncio se realizará exclusivamente a través de Cesión de remate en el marco del proceso de Subasta Judicial en el que se encuentra. Toda la información aquí publicada se encuentra disponible de manera pública en el Boletín Oficial del Estado. Las características del inmueble descrito en este anuncio no han podido ser verificadas y deben considerarse como orientativas.,False,good,False,1545.0,False,False,False,False,[],False,False,190000.0,€,flat,,Griñón,Piso en calle del Palo,id: 194208,,,,,False,,False,,,
108614526,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/1c/9d/1349993890.webp,20,765000.0,chalet,sale,203.0,4,2,Rivas Futura,Madrid,Rivas-Vaciamadrid,es,40.3516661,-3.5225511,False,https://www.idealista.com/inmueble/108614526/,"Espectacular Chalet pareado en zona privilegiada de Rivas Vaciamadrid Presentamos este exclusivo chalet de tres plantas ubicado en una de las zonas más demandadas de Rivas. Con acabados de primera, ventanas PVC climalit, aire acondicionado inverter, esta propiedad ofrece un estilo de vida de tranquilidad y confort inigualable. Planta Principal: En la planta principal se encuentra una cocina totalmente equipada con zona de office donde poder comer con salida al porche delantero. Un amplio salón comedor de 26.80 m ². Dormitorio en planta baja. Los grandes ventanales inundan el espacio con luz natural y ofrecen impresionantes vistas al jardín. Este espacio es perfecto para disfrutar de reuniones al aire libre, barbacoas o simplemente relajarse contemplando el jardín. También hay un aseo de cortesía en esta planta. Planta Superior: La planta superior alberga la zona de descanso, con cuatro dormitorios elegantes y luminosos. El dormitorio principal cuenta con un lujoso baño en suite y vestidor, mientras que los otros tres dormitorios comparten un baño con ducha. Todos los dormitorios disponen de armarios empotrados y ofrecen vistas despejadas.  Buhardilla: totalmente diáfana y acondicionada con dos ventanas Velux, gran almacenaje en los laterales aprovechando al máximo el espacio. También hay un amplio garaje con capacidad para varios vehículos. El chalet está rodeado por un cuidado jardín privado, donde se encuentra parte solada y espacios verdes. Situado en una tranquila calle residencial, este chalet ofrece privacidad y exclusividad, al mismo tiempo que está cerca de todos los servicios y comodidades. Con fácil acceso a las principales vías de comunicación, centros comerciales, colegios de prestigio y áreas de ocio, esta propiedad combina a la perfección la tranquilidad de la vida suburbana con la proximidad a la ciudad. No pierdas la oportunidad de adquirir esta joya inmobiliaria y hacer realidad tus sueños de vivir en un entorno de lujo y confort. ¡Contáctanos para más información y para concertar una visita! Impuestos y gastos NO incluidos: ITP o IVA, notaría, registro, gestoría, tasación, etc.",False,good,False,3768.0,False,False,False,False,[],False,False,765000.0,€,chalet,semidetachedHouse,"Rivas Futura, Rivas-Vaciamadrid",Chalet pareado,VF00006,Rivas Futura,True,True,,,,,,,
