propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,exterior,neighborhood,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
103487750,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/74/bb/1191058986.webp,1082,4,3,1700000.0,flat,sale,160.0,3,3,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,40.4339801,-3.6804699,False,https://www.idealista.com/inmueble/103487750/,"THE SELECTION HOMES presenta magnifico piso en en venta en uno de los barrios más lujoso de Madrid, el barrio Salamanca.   Su excelente ubicación ofrece numerosos restaurantes, colegios, tiendas, iglesias, y está muy bien comunicado con todos los transportes públicos a menos de 3 minutos caminando. Esta propiedad se encuentra recién reformada y consta de 3 habitaciones, siendo dos de ellas en suite y un baño de cortesía que da servicio al resto de la casa. Consta de un amplio salón con cocina abierta. Cabe destacar la luminosidad de la vivienda. Esta vivienda tiene una terraza con vistas. El edificio cuenta también con servicio de portería.       Por deseo expreso de la propiedad no publicamos fotos de esta vivienda. La fotos son renders hechos por nuestros arquitectos. Para conocer mas acerca de la propiedad, por favor contáctenos a THE SELECTION HOMES. Las grandes avenidas del siglo XIX del glamuroso barrio de Salamanca están llenas de restaurantes de alta cocina y boutiques de diseñadores, especialmente en la ""Milla de Oro"". Los lugareños más refinados frecuentan Platea Madrid, un exclusivo mercado gourmet ubicado en un antiguo teatro. En el Museo Arqueológico Nacional hay obras de arte y reliquias prehistóricas de la Península Ibérica. Por su parte, el Museo Lázaro Galdiano expone obras de Goya y el Bosco.  .",False,good,False,10625.0,False,False,False,False,[],False,False,1700000.0,€,flat,,"Castellana, Madrid",Piso,True,Castellana,True,,,,,
107248445,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/89/30/1307356306.webp,,1,2,259000.0,flat,sale,77.0,3,1,Barrio Aravaca,Madrid,Madrid,Moncloa,es,40.4599271,-3.7805181,False,https://www.idealista.com/inmueble/107248445/,"OPORTUNIDAD PARA INVERSORES. No se puede visitar el inmueble, ya que está en situación de ""sin posesión"", lo que impide su tasación oficial. Oportunidad para inversores, pero con la limitación de que no se puede hipotecar mientras continúe la situación. RICMAR ofrece en exclusiva vivienda en Aravaca, en segunda planta, con 3 dormitorios, 1 baño y terraza en plena zona urbana, con 77 m². Oportunidad de adquirir fincas a través de Cesión de Crédito o Subasta Judicial a un precio muy inferior al precio de mercado. No dude en contactarnos para facilitarle esta oportunidad de mercado. Características básicas 77 m² construidos.",False,renew,False,3364.0,False,False,False,False,[],False,False,259000.0,€,flat,,"Aravaca, Madrid",Piso,True,Aravaca,False,,,,,
108566207,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/5b/62/1348636825.webp,idealista y web,6,1,1230000.0,flat,sale,115.0,3,3,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,40.4260215,-3.7036547,False,https://www.idealista.com/inmueble/108566207/,"LAS ENCINAS PROPERTIES les ofrece esta espectacular vivienda reformada en el corazón de Malasaña, una oportunidad única para vivir o invertir en una de las zonas con más encanto y demandas de Madrid. La vivienda, exterior y muy luminosa, cuenta con 115 m² construidos (110 m² útiles) distribuidos de forma muy funcional, con dos amplios salones, tres dormitorios, dos de ellos en suite, tres baños completos, dos cocinas totalmente equipadas, y un balcón exterior. Reformado con excelentes calidades, el piso se encuentra en buen estado, con armarios empotrados, calefacción individual y aire acondicionado. Ubicado en una primera planta con ascensor, orientado al sur, lo que garantiza luz natural durante todo el día. Con una ubicación privilegiada, se encuentra situado en una zona con excelente comunicación: cerca de las estaciones de metro Bilbao, Tribunal y Alonso Martínez, rodeado de terrazas, restaurantes, tiendas y todos los servicios del centro de Madrid. Ideal tanto para quien busca vivir en el centro como para inversores interesados en alquiler de alta rentabilidad.",False,good,False,10696.0,False,False,False,False,[],False,False,1230000.0,€,flat,,"Malasaña-Universidad, Madrid",Piso,True,Malasaña-Universidad,True,,,,,
108718055,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/59/12/0d/1358957344.webp,,8,3,179000.0,duplex,sale,50.0,2,1,Centro - Casco Histórico,Madrid,San Lorenzo de El Escorial,Centro - Casco Histórico,es,40.5920771,-4.1477535,False,https://www.idealista.com/inmueble/108718055/,"¡Descubre este encantador dúplex en el corazón del casco histórico! Con 50 m² construidos, este apartamento coqueto ofrece unas vistas a Abantos. Ideal tanto para vivir como para invertir, se encuentra a pocos pasos del mercado y del centro de salud, lo que lo convierte en una opción muy práctica. El dúplex cuenta con dos acogedores dormitorios, perfectos para descansar después de un día explorando la localidad. La cocina americana está diseñada para maximizar el espacio y facilitar la convivencia, mientras que el baño está en perfecto estado. Además, los armarios empotrados ofrecen un amplio almacenamiento. Ubicado en la tercera planta, este hogar goza de una excelente orientación Sur-Oeste, lo que garantiza luz natural durante todo el día. La calefacción electrica, asegura un ambiente agradable en cualquier época del año. No pierdas la oportunidad de vivir en un lugar donde cada rincón invita a disfrutar de la vida. ¡Ven a verlo y enamórate de tu nuevo hogar!",False,good,False,3580.0,False,False,False,False,[],False,False,179000.0,€,flat,duplex,"Centro - Casco Histórico, San Lorenzo de El Escorial",Dúplex,True,,False,,,,,
107986427,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/95/b8/1330363343.webp,,14,,2950000.0,chalet,sale,430.0,6,3,Barrio Nueva España,Madrid,Madrid,Chamartín,es,40.4665621,-3.6852549,False,https://www.idealista.com/inmueble/107986427/,"“Excelente Chalet Independiente con Proyecto de Obra Nueva junto a Madrid Nuevo Norte"" Vivienda unifamiliar ubicada en una de las zonas más tranquilas de Madrid, Junto al Parque del Distrito Castellana Norte, Colonia Histórica de Madrid, muy tranquila, sin tráfico, a la vez bien comunicada Una Isla de tranquilidad en medio de la gran ciudad, a 10 minutos caminando a Pza. de Castilla y a 7 minutos de la Estación de Chamartín. CHALET DE NUEVA PLANTA NOTA IMPORTANTE: Lo que se ofrece es la parcela con proyecto aprobado, listo para ejecutar. Honorarios de Arquitectos de dirección de Obra, y obra de ejecución no están incluidos en el precio que se ofrece.  Excelente obra de Nueva Planta proyectado por Prestigioso estudio de Arquitectura - PARCELA: 290 m2 - Construidos Totales: 430 m2 - Útiles: 285 m2 DISTRIBUCIÓN: PARCELA: Excelente Parcela independiente de 290 m2 con espacio libre de aproximadamente 190 m2 jardín que deja la planta del edificio principal, destinado a Jardín. PLANTA BAJA: - Amplio salón comedor con amplia cristalera practicable que permite conectar directamente el salón con la Zona Sur del Jardín. Superficie: 42 m2, dividido en dos zonas de estar. - Cocina Independiente: 18 m2 - Office independiente de la cocina con salida directa al jardín - Recibidor  - Distribuidor que da a la escalera de acceso a las diferentes plantas. - Aseo  PLANTA PRIMERA: 3 Dormitorios y 2 baños - Dormitorio de Invitados: Amplio Dormitorio Doble con baño en Suite (16 m2) - Baño en suite del Dormitorio de Invitados - Amplio Dormitorio de 27 m2 actualmente proyectado con 4 camas individuales con su zona de armario y mesas de estudio independientes. El proyecto de distribución permite dividirlo en 2 Dormitorios dobles con 2 camas individuales cada uno. - 1 Baño completo adicional que comparten los otros 2 dormitorios. PLANTA SEGUNDA - Dormitorio Principal con amplio vestidor y baño en suite. (28 m2) - Sala de estar independiente del dormitorio principal con amplio ventanal con salida a un soleado balcón con orientación Sur y chimenea. Espacio ideal también como despacho. (18 m2) - Sala de lectura. - ÁTICO TERRAZA. Amplia terraza ajardinada con Solárium con excelentes vistas ideal para las cenas de las calurosas noches de verano. PLANTA SÓTANO Planta de 190 m2 con Patio Inglés para darle Iluminación y ventilación a la planta.  - Sala de estar ideal como zona de juegos para los mas pequeños. - Zona de Lavandería  - Cuarto de Instalaciones - Garaje con amplias 2 plazas. - Energía, ACS y Climatización suelo radiante con aerotermia y placas solares en cubierta. Vivienda Ideal para familias numerosas, por las posibilidades de distribución, Jardín, parques infantiles y la cercanía de colegios. ENTORNO: Chalet situado en Colonia Histórica de Madrid, sin tráfico, pero en medio de la Gran Ciudad. Calles tranquilas, con Jardines, Plazas y Parque Infantil. Zonas de esparcimiento para los niños, sin peligro de tráfico. Una Isla de Tranquilidad en medio de la Gran Ciudad y a la vez muy bien comunicada, rodeada de una gran oferta de Ocio y Restauración, pequeños comercios, Centros Comerciales muy próximos. CERCANÍA a AREA NEGOCIOS CUATRO TORRES (20 min.) y PUERTA EUROPA (10Min) Muy cercana al Area de Negocios de Madrid Cuatro Torres.( CTBA), donde se ubican las Embajadas de Reino Unido, Países Bajos, Australia, Canadá, a 10 minutos de la Embajada China y del Edificio Madrid Puerta de Europa (Torres Kio). COLEGIOS CERCANOS - Ntra. Sra. del Recuerdo (Colegio Jesuitas) - Sagrado Corazón - Cardenal Marcelo Spinola - International School of Madrid CENTROS DE FORMACIÓN y ESCUELAS DE NEGOCIOS - Advantere School of Management (Universidad de Geortown, Deusto y UP de Comillas)  - Ie University (Edificio Universidad IE) a 20 minutos caminando - Universidad Pontificia Comillas de Madrid: UNINPSI - Unidad Clínica de Psicología.",False,good,False,6860.0,False,False,False,False,[],False,False,2950000.0,€,chalet,independantHouse,"Nueva España, Madrid",Casa independiente,,Nueva España,,True,True,,,
107551168,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/53/7c/1316072195.webp,06-025,11,3,179000.0,flat,sale,55.0,2,1,avenida de Colmenar Viejo,Madrid,San Sebastián de los Reyes,Centro Urbano,es,40.5464745,-3.6297811,False,https://www.idealista.com/inmueble/107551168/,"BUENA GESTION INMOBILIARIA comercializa esta vivienda en el centro de San Sebastián de los Reyes, situado en la misma avenida de Colmenar Viejo. Consta de 55m2 distribuidos en salón comedor, cocina equipada con terraza exterior, 2 habitaciones y baño completo con plato de ducha. Calefacción individual eléctrica (acumuladores) Tercera planta sin ascensor. Te ayudamos con la financiación a tu medida, consúltanos sin compromiso!",False,good,False,3255.0,False,False,False,False,[],False,False,179000.0,€,flat,,"Centro Urbano, San Sebastián de los Reyes",Piso en avenida de Colmenar Viejo,True,,False,,,,,
96969115,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/fd/af/961797952.webp,Rozas Puert Real,4,,50000.0,chalet,sale,99.0,2,1,Antonio Machado s/n,Madrid,Rozas de Puerto Real,,es,40.3099843,-4.4914358,True,https://www.idealista.com/inmueble/96969115/,"Vivienda en el centro del pueblo junto a la Plaza de España. Tiene una superficie de 99 m2 distribuida en tres plantas. Con salón, cocina, dos dormitorios, baño y terraza. Necesita reforma. Calle tranquila. Comunicado en transporte público con autobuses interurbanos. Zona con gran interés paisajístico, cerca de San Martín de Valdeiglesias y de la provincia de Ávila. NO COBRAMOS COMISIÓN AL COMPRADOR.",False,renew,False,505.0,False,False,False,False,[],False,False,50000.0,€,chalet,terracedHouse,Rozas de Puerto Real,Chalet adosado en Antonio Machado s/n,,,,,,,,
106559812,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/a9/ab/1286783238.webp,8879-CS-18505-0001,1,,76000.0,chalet,sale,146.0,3,1,calle Río Tajo,Madrid,Belmonte de Tajo,,es,40.1325572,-3.3397697,False,https://www.idealista.com/inmueble/106559812/,"Chalet en centro, con 146 m² construidos, 3 dormitorios, 1 baños, para reformar, zonas verdes, gastos de comunidad/mes de 63 €, acepta animales. inmueble sin posesion ocupado no es posible visitar, se vende como inversion si desea mas informacion no dude en contactar  la vivienda no se puede hipotecar chalet independiente de 1 dormitorio y de 1 baño en Villarejo de Salvanés. Cuenta con una superfície de 146 m2.",False,renew,False,521.0,False,False,False,False,[],False,False,76000.0,€,chalet,independantHouse,Belmonte de Tajo,Casa independiente en calle Río Tajo,,,,,,80900.0,4900.0,6.0
107097706,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fa/5d/e5/1302896228.webp,,14,2,970000.0,flat,sale,165.0,3,2,"plaza de San Ildefonso, 4",Madrid,Madrid,Centro,es,40.424193,-3.7022417,True,https://www.idealista.com/inmueble/107097706/,"Precioso piso situado en la famosa y castiza plaza de San Ildefonso. Superficie total 147 m2, dos balcones que dan a la plaza, amplio salón de diseño con cocina integrada. 3 habitaciones una de ellas en suite, 2 baños con acabados en piedra y cemento pulido, excelentes calidades..",False,good,False,5879.0,False,False,False,False,[],False,False,970000.0,€,flat,,"Malasaña-Universidad, Madrid","Piso en plaza de San Ildefonso, 4",True,Malasaña-Universidad,False,,,,,
108230214,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/83/8b/1338399657.webp,,24,,2800000.0,chalet,sale,310.0,6,5,Barrio Nueva España,Madrid,Madrid,Chamartín,es,40.4676019,-3.6863205,False,https://www.idealista.com/inmueble/108230214/,"Excelente Chalet Independiente junto a Madrid Nuevo Norte"" Vivienda unifamiliar ubicada en una de las zonas más tranquilas de Madrid, Junto al Parque del Distrito Castellana Norte, Colonia Histórica de Madrid, muy tranquila, sin tráfico, a la vez bien comunicada Una Isla de tranquilidad en medio de la gran ciudad, a 10 minutos caminando a Pza. de Castilla y a 7 minutos de la Estación de Chamartín. - PARCELA: 215 m2 - Construidos Totales: 310 m2 - Útiles: 280 m2 DISTRIBUCIÓN: PARCELA: Excelente Parcela independiente de 215 m2 con espacio libre de aproximadamente 132 m2 jardín que deja la planta del edificio principal, destinado a Jardín. PLANTA BAJA: - Amplio salón comedor con amplia cristalera practicable que permite conectar directamente el salón con la Zona de la Cocina con Office. - Cocina Independiente - Office - Recibidor - Distribuidor que da a la escalera de acceso a las diferentes plantas. - Aseo PLANTA PRIMERA: - 3 amplios dormitorios  - Terraza - 1 baño PLANTA SEGUNDA: - Dormitorio Principal con vestidor y baño en suite con zona de despacho. - 1 Dormitorio de invitados doble  - 1 Baño Con una parcela de 215 m² y 240 m² construidos, esta propiedad es ideal para familias numerosas que buscan espacio y comodidad. La casa actual se distribuye en tres plantas, con un total de cinco dormitorios, tres baños y un diseño que prioriza el confort y la eficiencia energética gracias a su sistema de climatización por aerotermia y suelo radiante. - ÁTICO TERRAZA. Amplia terraza ajardinada con Solárium con excelentes vistas ideal para las cenas de las calurosas noches de verano. PLANTA SÓTANO: Posibilidades de obra de ampliación de planta sótano con patio Inglés, y plaza de garaje.  Vivienda Ideal para familias numerosas, por las posibilidades de distribución, Jardín, parques infantiles y la cercanía de colegios. ENTORNO: Chalet situado en Colonia Histórica de Madrid, sin tráfico, pero en medio de la Gran Ciudad. Calles tranquilas, con Jardines, Plazas y Parque Infantil. Zonas de esparcimiento para los niños, sin peligro de tráfico. Una Isla de Tranquilidad en medio de la Gran Ciudad y a la vez muy bien comunicada, rodeada de una gran oferta de Ocio y Restauración CERCANÍA a AREA NEGOCIOS CUATRO TORRES (20 min.) y PUERTA EUROPA (10Min) Muy cercana al Area de Negocios de Madrid Cuatro Torres.( CTBA), donde se ubican las Embajadas de Reino Unido, Países Bajos, Australia, Canadá, a 10 minutos de la Embajada China y del Edificio Madrid Puerta de Europa (Torres Kio). COLEGIOS CERCANOS - Ntra. Sra. del Recuerdo (Colegio Jesuitas) - Sagrado Corazón - Cardenal Marcelo Spinola - International School of Madrid CENTROS DE FORMACIÓN y ESCUELAS DE NEGOCIOS - Advantere School of Management (Universidad de Geortown, Deusto y UP de Comillas) - Ie University (Edificio Universidad IE) a 20 minutos caminando - Universidad Pontificia Comillas de Madrid: UNINPSI - Unidad Clínica de Psicología. NOTA: Las características que se anuncian son con la obra de ampliación del Sótano de la vivienda actual, pero no incluye en el precio la obra de ampliación, ni proyecto, ni licencia. Únicamente se exponen las posibilidades de ampliación de la vivienda actual. Las imágenes que se muestran son una recreación virtual de posibles reformas de los espacios de la vivienda.",False,renew,False,9032.0,False,False,False,False,[],False,False,2800000.0,€,chalet,independantHouse,"Nueva España, Madrid",Casa independiente,,Nueva España,,True,True,,,
