propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology
108502980,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/74/98/1347836352.webp,jg206243,30,4,830000.0,flat,sale,100.0,True,3,2,Barrio Guindalera,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4357888,-3.6720808,False,https://www.idealista.com/inmueble/108502980/,"Piso en Guindalera Ubicado en una de las zonas más demandadas de Madrid, el barrio de Guindalera, en el prestigioso distrito de Salamanca, este exclusivo inmueble en la calle Pilar de Zaragoza es una verdadera joya para aquellos que buscan vivir en un entorno elegante y bien conectado. La Guindalera, con sus calles peatonales, fincas señoriales y una amplia variedad de comercios locales, combina el encanto del Madrid tradicional con la comodidad de la vida moderna. A un paso de Francisco Silvela, esta ubicación ofrece una excelente conectividad y acceso a todos los servicios que puedas necesitar. La vivienda, situada en una cuarta planta exterior con ascensor, ha sido completamente reformada con materiales de alta calidad y un diseño cuidado al detalle. Con 100 m² construidos, su distribución es impecable: un dormitorio principal con zona de vestidor y baño completo en suite, dos dormitorios adicionales, otro baño completo, y un espectacular salón con cocina americana con península. La luminosidad es una de las principales características de este piso, que además cuenta con una terraza habitable de generoso tamaño, perfecta para disfrutar de momentos de relax o reuniones al aire libre. Además, tienes la posibilidad de adquirir una plaza de garaje de 10 m² en una finca cercana de la misma calle por 29.000 € adicionales. En cuanto a la ubicación, el inmueble se encuentra rodeado de servicios educativos, comerciales y de transporte. A menos de 10 kilómetros, destaca el Colegio Nuestra Señora del Pilar, reconocido por su excelencia académica. Para tus compras y ocio, tienes el Centro Comercial Las Ventas muy cerca, con una amplia oferta de tiendas y restaurantes. En términos de transporte público, las estaciones de metro más cercanas son Diego de León (líneas 4, 5 y 6) y Ventas (líneas 2 y 5). La estación de cercanías Nuevos Ministerios está a pocos minutos en coche, y las líneas de autobuses como el 12, 43 y 48 pasan por la zona, garantizando una movilidad óptima. Guindalera es un barrio que destaca por su tranquilidad y su carácter residencial, pero también por su proximidad a los puntos neurálgicos de la ciudad. Es ideal para familias, parejas jóvenes o profesionales que buscan combinar calidad de vida con comodidad urbana. Su ubicación estratégica, junto a Francisco Silvela y cerca de importantes arterias de la ciudad, hace que sea una opción perfecta para quienes valoran la conectividad sin renunciar a un entorno apacible. Desde 1983, GILMAR ha sido líder en el sector inmobiliario, ayudando a sus clientes a encontrar la casa de sus sueños con profesionalidad y dedicación. Con más de 40 años de experiencia, nuestro equipo está comprometido en ofrecer un servicio personalizado y de excelencia, convirtiendo cada transacción en una experiencia única. Si deseas más información sobre este exclusivo inmueble, no dudes en contactar con nuestro equipo en la oficina de Avenida América. Visítanos en C/ López de Hoyos esquina Corazón de María, llámanos al o escríbenos al correo electrónico. Por favor, facilita la referencia 206243 para que podamos atenderte de manera más efectiva.",True,good,False,True,8300.0,True,True,False,False,[],False,False,830000.0,€,True,False,29000.0,flat,"Guindalera, Madrid",Piso,Top,
108251046,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/83/1b/1340309129.webp,AM186727,34,8,630000.0,flat,sale,142.0,True,3,2,Barrio Marroquina,Madrid,Madrid,Moratalaz,es,Marroquina,40.408829,-3.6336825,False,https://www.idealista.com/inmueble/108251046/,"**Exclusiva oportunidad en Moratalaz** En el emblemático barrio de Moratalaz, específicamente en la zona de Marroquina, se encuentra este magnífico piso en altura que destaca por su excelente distribución. Con una superficie construida de 142 m², esta propiedad cuenta con tres amplios dormitorios, dos baños completos y dos terrazas que ofrecen unas vistas privilegiadas hacia las Cuatro Torres Business Area. Cada metro cuadrado está aprovechado al máximo, mostrando una distribución funcional que invita a imaginar el hogar perfecto. Ubicada en la mejor finca del barrio, esta vivienda está en un edificio que ofrece comodidades premium: piscina comunitaria, zonas ajardinadas y vigilancia las 24 horas, garantizando seguridad y tranquilidad. La finca también dispone de ascensor, jardines y áreas comunes ideales para disfrutar de momentos de relax. El barrio de Moratalaz es conocido por ser uno de los más seguros y verdes de Madrid, con una gran cantidad de zonas ajardinadas que aportan calidad de vida a sus residentes. Además, su proximidad al Parque de la Cuña Verde de O'Donnell lo convierte en un lugar ideal para quienes desean disfrutar de la naturaleza sin salir de la ciudad. Este parque es perfecto para paseos, actividades deportivas y momentos de desconexión en un entorno natural. En términos de servicios, la ubicación es privilegiada. Con salidas a la M30 y M40. A menos de 10 kilómetros, se encuentra el prestigioso Colegio Montserrat, que ofrece una educación de calidad y es reconocido en la capital. Para las compras y el ocio, el Centro Comercial Alcalá Norte está a pocos minutos en coche, con una amplia oferta de tiendas, restaurantes y entretenimiento. En cuanto al transporte público, la vivienda está excelentemente conectada: la estación de Metro más cercana es Artilleros y Vinateros (Línea 9), mientras que las líneas de autobuses disponibles en la zona incluyen la 20, 30, 32, 8 Y 100, facilitando el acceso rápido al centro de Madrid y otros puntos estratégicos. Con un precio competitivo de 630.000 €, esta propiedad se presenta como una oportunidad para quienes buscan tanto vivir como invertir en un barrio consolidado y en crecimiento. La vivienda, construida en 1993, cuenta con características que la hacen destacar, como su luminosidad gracias al suelo de parquet, armarios empotrados y puerta blindada, garantizando confort y seguridad. **Sobre GILMAR**  Desde 1983, GILMAR se ha posicionado como líder en el sector inmobiliario, ayudando a miles de clientes a encontrar la casa de sus sueños. Con más de 40 años de experiencia, nuestro equipo de expertos trabaja con pasión y profesionalismo para ofrecer las mejores soluciones inmobiliarias, siempre adaptándose a las necesidades de cada cliente. **Contacto**  Si deseas más información sobre este inmueble, no dudes en contactarnos. Facilítanos la referencia **186727** y nuestro equipo de la oficina de Jerónimos-Retiro estará encantado de atenderte.  � Dirección: Avda. del Mediterráneo, 44  � Teléfono:  � Email:.",True,good,False,True,4437.0,True,True,False,False,[],False,False,630000.0,€,,,,flat,"Marroquina, Madrid",Piso,Top,
89025254,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/89/1a/761316663.webp,V207Q13,54,,5500000.0,chalet,sale,1150.0,,6,6,calle Serramagna,Madrid,Madrid,Hortaleza,es,Conde Orgaz-Piovera,40.4563405,-3.6358865,False,https://www.idealista.com/inmueble/89025254/,"MAISON de QUALITÉ Agence Immobilière Française présente LES PLUS BELLES MAISONS DE MADRID.   EL MUST DE LA ELEGANCIA en el Exclusivo Parque Conde de Orgaz. Emplazamiento perfecto con espectaculares vistas, unido a la buena construcción y elegante diseño, dicen de ésta vivienda un lujo sin lugar a dudas y una apuesta segura. DISTRIBUCIÓN DE LA VIVIENDA PLANTA PRINCIPAL. Hall de entrada, aseo de cortesía, dos grandes salones en distintos ambientes (62 m2 -30 m2) con salida a porche y jardín con piscina, comedor (30 m2), cocina completamente equipada (20,40 m2) con office y comedor (11,20 m2), despacho (18,5 m2), y dos dormitorios de servicio (10,5 m2 - 8 m2) que comparten un baño.  PLANTA PRIMERA. Dormitorio principal en suite (30 m2) con vestidor (13,5 m2) y terraza (30 m2), un dormitorio en suite (15 m2) con vestidor (12 m2) y terraza (27,5 m2), dos dormitorios (18,4 m2 -18 m2) que comparten un baño (7,5 m2). PLANTA SEGUNDA. Un dormitorio (17,2 m2) con baño (10,2 m2), un dormitorio (17,2 m2) con baño (4,7 m2), un salón de estar (15,2 m2) con salida a gran terraza (137,50 m2). PLANTA SÓTANO. Salón de juegos (142 m2), baño (8 m2), cocina (20,5 m2), aseo (4,5 m2), almacén (28 m2), despensa (5,5 m2), zona de lavandería (15,5 m2), aspirador centralizado (7,5 m2), gimnasio (25 m2), sauna (10 m2), cuarto para cámaras frigoríficas (6 m2), sala de conductores (17 m2), y garaje para 5 coches (166 m2). ELEMENTOS EXCLUSIVOS. Calefacción individual gas natural por suelo radiante Aire acondicionado frío/calor en cada planta. Placas solares. Ascensor desde el garaje hasta última planta. Gran terraza. Piscina individual. Gran jardín privado. Garaje cerrado para 5 coches. Bodega. Gimnasio. Sauna. Wifi a máxima velocidad en cada planta. Alarma. PROXIMIDADES. Arturo Soria Plaza 2 km. Hipercor Campo de las Naciones 3 km. Gimnasio Holmes Place 1,8 km. Hospital Nuestra Señora de América 2,1 km. Clínica Universitaria de Navarra 3,2 km. Colegio San José del Parque 1,8 km. Liceo Francés de Madrid 1,4 km. Farmacia 450 m. MAISON de QUALITÉ agence immobilière française, selecciona las mejores y exclusivas viviendas de Madrid, Arturo Soria Prime y Parque Conde de Orgaz ofreciéndole la mejor calidad de servicio en la Compra-Venta y alquiler de viviendas. Aportamos un gran valor con la máxima seriedad y servicio a nuestros clientes. PINCHE EN NUESTRO LOGO PARA VER MÁS VIVIENDAS. MAISON de QUALITÉ agence immobilière française, sélectionne les meilleures propriétés dans les zones exclusives de Madrid offrant la meilleure qualité de service dans la vente, achat ou location de logements. VENTA 5.500.000€ REF. V207Q13 Independiente Parque Conde de Orgaz  6 dormitorios 6 baños 1150 m2 construidos 1311 m2 de parcela Año construcción 2008 Plantas +3-1 Orientación sureste.",True,good,False,,4783.0,True,True,False,False,[],False,False,5500000.0,€,True,True,,chalet,"Conde Orgaz-Piovera, Madrid",Casa independiente en calle Serramagna,Top,independantHouse
108452050,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/be/97/1346095509.webp,JS209017,35,,2800000.0,chalet,sale,458.0,,7,5,Barrio Canillejas,Madrid,Madrid,San Blas,es,Canillejas,40.4482372,-3.6171997,False,https://www.idealista.com/inmueble/108452050/,"Descubre una joya arquitectónica en el prestigioso barrio de Canillejas, en el distrito de San Blas, Madrid. Este chalet independiente, construido en 2014, redefine el concepto de lujo con sus 458 metros cuadrados de superficie construida y una parcela de 454 metros cuadrados. Con un precio de 2.800.000 euros y una calidad excepcional en cada rincón, esta propiedad es el epítome de exclusividad y confort. El chalet cuenta con 6 dormitorios, todos principales, y 5 baños perfectamente distribuidos para garantizar la máxima comodidad. Su diseño moderno y elegante está acompañado por acabados de altísima calidad, como suelos de roble, armarios empotrados y sistemas de domótica que aportan sofisticación y funcionalidad. Además, incluye aire acondicionado, puerta blindada y alarma, características que aseguran confort y seguridad.  En el exterior, este inmueble ofrece un jardín de lujo que invita al relax y a disfrutar de momentos inolvidables. La piscina, concebida para ser un oasis privado, complementa este espacio de ensueño. Para los amantes de los automóviles, el chalet dispone de un garaje con capacidad para 4 vehículos, lo que asegura comodidad y practicidad. Ubicado en la colonia Alfonso XIII, este barrio es conocido por su tranquilidad y ambiente residencial, ideal para familias que buscan calidad de vida en la capital. La zona cuenta con excelentes conexiones de transporte público: las líneas de metro más cercanas son la L5 (Canillejas) y la L7 (Las Musas). También se encuentran próximas las líneas de autobuses 77, 114 y 115, que conectan con diferentes puntos de Madrid. En cuanto a servicios educativos, cabe destacar el amplio espectro de colegios internacionales del Parque Conde Orgaz, el Liceo francés, el Colegio Alameda de Osuna, etc, a escasos minutos, ofreciendo una educación de calidad. Además, el Centro Comercial Arturo Soria Plaza y el Plenilunio, con una amplia oferta de tiendas, restaurantes y ocio, están a escasos minutos. Canillejas combina lo mejor de la vida urbana y la tranquilidad residencial. Su proximidad a parques como el Juan Carlos I y el acceso rápido a las principales arterias de Madrid hacen de este barrio una opción inmejorable para quienes buscan comodidad y exclusividad.  Desde 1983, GILMAR se ha especializado en ayudar a sus clientes a encontrar la casa de sus sueños. Con décadas de experiencia en el sector inmobiliario, nuestro equipo en la oficina de Orgaz-Naciones está listo para ofrecerte un servicio profesional y personalizado. Para más información sobre este inmueble, contacta con nuestro equipo en la oficina de Orgaz-Naciones, ubicada en Avda. Machupichu, 35. Llámanos al o envíanos un correo electrónico a y facilítanos la referencia 209017. ¡Estamos aquí para ayudarte a encontrar tu próximo hogar!",True,good,False,,6114.0,True,True,False,False,[],False,False,2800000.0,€,True,True,,chalet,"Canillejas, Madrid",Casa independiente,Top,independantHouse
107808845,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/cd/4a/1324399564.webp,W-02YOKF,62,,2180000.0,chalet,sale,786.0,,5,6,Ciudalcampo,Madrid,Ciudalcampo,,es,,40.6193018,-3.6228205,False,https://www.idealista.com/inmueble/107808845/,"Magnífico chalet en urbanización Ciudalcampo Engel&Volkers les ofrece esta vivienda de diseño original que gira alrededor de una preciosa escalera de caracol, como eje central y protagonista. El salón de casi 50m2, con dos ambientes en los que destaca la bonita chimenea de laja, da salida a un magnífico porche que recorre tanto el salón como la cocina con una superficie total de 80m2. La cocina alrededor del semicírculo que forma por la parte de atrás la escalera cuenta con comedor de diario y un cuarto de lavandería y plancha. El hall en la parte central de la vivienda tiene su armario y aseo de cortesía, y completan la planta al otro lado de la escalera un espacioso dormitorio en suite. En la planta superior se encuentran los 4 dormitorios principales de la casa, todos ellos en suite. A uno de los lados el dormitorio principal con casi 30m2 de superficie, incluye un pasillo con armarios vestidos en madera haciendo las veces de vestidor y un baño completo con bañera triangular y ducha. En el centro dos dormitorios con la forma semicircular de la escalera en su interior, y al otro lado un dormitorio cuadrado de 25m2 con muchas ventanas que ahora se utiliza de despacho pero que cuenta igualmente con baño en suite con ducha de hidromasaje. La planta sótano de la vivienda se habilitó posteriormente con un enorme salón multiusos de 110m2 que integra barra americana y varios ambientes para un billar, sala de reuniones o de juegos. En esta planta se halla también el garaje de 60m2 con puertas automáticas, cuartos de máquinas, jardinería, trastero, etc. Completa esta propiedad un precioso jardín orientación sur con multitud de árboles frutales (membrillo, cerezas, peras, melocotones, etc.) huerto, zona de barbacoa y una piscina con una pequeña isla central decorativa. Desde el jardín se puede acceder directamente al pasillo verde de un parque natural. Cuenta con paredes de estuco con doble aislamiento, ventanas de aluminio en el exterior y madera en el interior con persianas eléctricas con mosquiteras, oscilobatientes y con rotura de puente térmico. La calefacción es de gas natural por suelo radiante y aire acondicionado por splits. La urbanización de Ciudalcampo es una de las mejores zonas residenciales de Madrid. Excepcional emplazamiento dentro del Parque Regional de la Cuenca Alta del Manzanares, ubicada en los municipios de San Sebastián de los Reyes y Colmenar Viejo. Entorno privilegiado y con impresionantes vistas a la sierra norte de Madrid. Espacio que mantiene el equilibrio entre el desarrollo urbanístico y la conservación del medio natural. Cómodo y rápido acceso en el Km 28 de la N-1. Próxima al aeropuerto de Madrid Barajas, IFEMA y a parque empresarial con múltiples empresas multinacionales, y a tan solo 10 minutos de uno de los mejores hospitales de la zona Norte el Hospital Infanta Sofía. Excepcionales dotaciones y servicios dentro de la propia urbanización: Colegio internacional SEK, Club deportivo RACE (Golf, Paddle, Tenis, Piscina, Gimnasio, Hípica, Fútbol), Servicio regular de autobuses a Madrid e interno dentro de la propia urbanización, Oficina de correos y Centro Comercial Santo Domingo, con farmacia, supermercado, frutería, carnicería, pescadería, estanco, restauración, etc. Dispone de un sistema de cámaras y vallado perimetral. Servicio de seguridad 24 horas con patrullas de vigilancia y control de barrera a la entrada. Cuenta además con 6,5Km de circuito físico para la práctica de deporte al aire libre y 41km de viales con tráfico limitado a la propia urbanización, ideales para los amantes de paseos en plena naturaleza.",True,good,False,,2774.0,True,True,False,False,[],False,False,2180000.0,€,True,True,,chalet,Ciudalcampo,Casa independiente,Top,independantHouse
108616229,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/71/71/1350044670.webp,318360,21,2,1150000.0,flat,sale,105.0,True,2,2,Barrio Huertas-Cortes,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4133211,-3.6961124,False,https://www.idealista.com/inmueble/108616229/,"Esta luminosa vivienda de 105 metros cuadrados, cuidadosamente diseñada, combina confort, estilo y serenidad para ofrecer un hogar excepcional frente al Museo del Prado. Distribuido en formato dúplex, el inmueble dispone de dos habitaciones y dos baños de diseño contemporáneo, garantizando privacidad y comodidad. En la planta baja se encuentra un dormitorio, un baño completo y un elegante salón con impresionantes techos de más de seis metros de altura y amplios ventanales que ofrecen vistas a un encantador patio ajardinado, lo que permite una magnífica entrada de luz natural durante todo el día. La cocina, de concepto abierto y equipada con electrodomésticos de alta gama, se integra de forma armoniosa con el salón, creando un espacio acogedor y funcional. La planta superior alberga el dormitorio principal, de generosas dimensiones, con vestidor y baño en suite. Entre las prestaciones adicionales destacan el sistema de aire acondicionado y el ascensor, que aseguran el máximo confort y accesibilidad. La propiedad se sitúa en una ubicación privilegiada, rodeada de una amplia oferta cultural y de ocio, así como con fácil acceso a todos los servicios necesarios, lo que la convierte en una opción ideal para quienes valoran un estilo de vida urbano, dinámico y sofisticado. Esta propiedad representa una oportunidad excepcional en el mercado inmobiliario actual. Ya sea como residencia habitual o como inversión, se trata de una vivienda que destaca por su elegancia, su cuidada reforma con acabados de lujo y su ubicación inmejorable.",True,good,False,True,10952.0,True,True,False,False,[],False,False,1150000.0,€,,,,flat,"Huertas-Cortes, Madrid",Piso,Top,
108291893,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/08/5c/4e/1339723277.webp,W-02ZZMJ,55,,3950000.0,chalet,sale,600.0,,4,4,Las Lomas,Madrid,Boadilla del Monte,Las Lomas,es,,40.4382386,-3.9077212,False,https://www.idealista.com/inmueble/108291893/,"Sofisticado chalet unifamiliar en Las Lomas Engel&Völkers presenta esta exquisita propiedad, fundida en medio de la naturaleza, que consta de 600 metros cuadrados en dos plantas y sobre una parcela de 2.235 metros cuadrados.  En la vivienda se distribuyen cuatro amplísimos dormitorios, cada uno con su cuarto de baño en suite, salón con chimenea, salita de estar, un original comedor junto a la espléndida cocina, sala-trabajo-estudio, gimnasio, sala de limpieza, aseo y un cómodo garaje para cuatro vehículos grandes.  Tanto el diseño interior como exterior crean un flujo armonioso en todo el espacio y los enormes ventanales enmarcan las vistas verdes y exuberantes, proporcionando luz natural y tranquilidad en cada rincón. Además cuenta con una impecable piscina de cloración salina. Se trata de una propiedad que no solo ofrece un hogar, sino una experiencia de vida incomparable, donde la sostenibilidad se fusiona con el lujo gracias a la combinación de paneles solares y aerotermia, reduciendo el impacto ambiental y produciendo ahorro energético. No pierda la oportunidad de adquirir un pedazo del paraíso donde cada día se vive en total plenitud. La vivienda está ubicada en la exclusiva urbanización Las Lomas en Boadilla del Monte, población que se encuentra a tan sólo 15 minutos en coche de Madrid. Consta de un entorno natural envidiable con todos los servicios e infraestructuras para facilitar una vida cómoda. La urbanización cuenta con servicio de seguridad 24 horas, dos centros comerciales y el Club Premium David Lloyds, que combina deporte, relajación y diversión en familia, con pistas de tenis de alta gama, gimnasio de primera generación, un exclusivo spa y un fantástico club room donde socializar. Los reconocidos colegios St Michael´s, Virgen de Europa, Eurocolegio Casvi, Mirabal Internacional, Trinity College, y Highlands School Los Fresnos, están ubicados en la misma urbanización o en las proximidades. La zona está bien comunicada con autobuses, metro ligero y cercanía a la M-50, A-6 y A-5.",True,good,False,,6583.0,True,True,False,False,[],False,False,3950000.0,€,True,True,,chalet,"Las Lomas, Boadilla del Monte",Casa independiente,Top,independantHouse
97352707,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/b3/f0/977276447.webp,NM172934,31,,950000.0,chalet,sale,240.0,,4,3,RIO TAJO,Madrid,Boadilla del Monte,Parque Boadilla,es,,40.4375249,-3.9141676,False,https://www.idealista.com/inmueble/97352707/,"Gilmar Boadilla vende en exclusiva chalet independiente construido sobre preciosa parcela de 2.500 metros en la urbanización “Parque Boadilla” perteneciente al término municipal de Boadilla del Monte. La planta de entrada nos recibe con un acogedor distribuidor que nos da paso a un salón principal con chimenea y dos ambientes diferenciados. En esta misma planta, cocina office, sala de estar-biblioteca, aseo de cortesía y plaza de garaje con capacidad para un coche. En la primera planta, tres habitaciones, baño completo y habitación principal en suite. Ya en el exterior, la casa está rodeada de un bonito jardín, con plantas y árboles. Dicho jardín, dispone de una preciosa piscina privada. La casa se encuentra para actualizar y adaptarla a la necesidades de cada familia. La urbanización Parque Boadilla esta situada al noreste de Boadilla, lo convierten en uno de los más extensos y valorados de la localidad. Al pertenecer a las conocidas como urbanizaciones históricas –las más antiguas del municipio y las que destacan, en general, por el alto poder adquisitivo de sus residentes- su estructura urbana está formada, en gran parte, por viviendas unifamiliares con grandes parcelas independientes y amplias zonas verdes. Su proximidad al Parque Regional del Curso Medio del Río Guadarrama le concede un mayor atractivo de cara a quienes buscan el contacto directo con la naturaleza.",True,renew,False,,3958.0,True,True,False,False,[],False,False,950000.0,€,True,True,,chalet,"Parque Boadilla, Boadilla del Monte",Casa independiente en Rio Tajo,Top,independantHouse
108460633,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/e0/7c/1346955058.webp,jg210150,37,1,800000.0,flat,sale,133.0,True,4,2,Barrio Prosperidad,Madrid,Madrid,Chamartín,es,Prosperidad,40.4462946,-3.6677035,False,https://www.idealista.com/inmueble/108460633/,"Piso en Prosperidad En pleno corazón del barrio de Prosperidad, en el distrito de Chamartín, se encuentra esta magnífica vivienda de altura que destaca no solo por su ubicación privilegiada, sino también por sus características únicas. Situada en una de las mancomunidades más demandadas de la zona, esta propiedad es una verdadera joya para quienes buscan espacio, luminosidad y posibilidades de personalización. Con una superficie construida de 133,14 m², este piso de gran tamaño se distribuye de manera eficiente en un generoso recibidor, un amplio salón, cuatro dormitorios, dos baños completos y una cocina independiente que incluye un práctico lavadero. La planta del inmueble, de diseño cuadrado y sin muros de carga, ofrece una flexibilidad excepcional para quienes deseen reformar o redistribuir los espacios a su gusto. Además, la vivienda cuenta con ventilación cruzada y una luminosidad natural extraordinaria gracias a su orientación sureste, lo que garantiza luz durante todas las horas de sol. La mancomunidad, ubicada entre las calles Corazón de María y Clara del Rey, ofrece una amplia variedad de servicios y opciones de ocio. Desde supermercados, farmacias y restaurantes hasta zonas verdes y espacios de recreo, todo está al alcance de la mano. Además, la finca cuenta con ascensor, portero físico, calefacción central y plaza de garaje incluida, lo que asegura comodidad y tranquilidad. En cuanto a la conectividad, la zona está excelentemente comunicada. A menos de 10 kilómetros encontramos el prestigioso Colegio Nuestra Señora del Pilar, ideal para familias con hijos en edad escolar. Para el ocio y las compras, el Centro Comercial Moda Shopping está a pocos minutos en coche. En transporte público, las líneas de metro más cercanas son Alfonso XIII (L4) y Cartagena (L7), mientras que las líneas de cercanías Chamartín (C1, C2, C3, C4, C7 y C10) están a corta distancia. Además, las líneas de autobuses como la 9, 73 y 120 facilitan el acceso a cualquier punto de la ciudad. El barrio de Prosperidad es una de las zonas más dinámicas y consolidadas de Madrid. Su equilibrio perfecto entre tradición y modernidad lo convierte en un lugar ideal para vivir, con calles llenas de vida, una oferta gastronómica variada y una comunidad acogedora. Su proximidad al distrito financiero de AZCA y su fácil acceso a las principales arterias de la ciudad lo hacen especialmente atractivo tanto para familias como para profesionales. Desde 1983, en GILMAR nos hemos dedicado a hacer realidad los sueños de nuestros clientes, ayudándoles a encontrar el hogar perfecto para cada etapa de su vida. Si deseas más información sobre esta vivienda, no dudes en contactar con nuestro equipo especializado en la oficina de Avenida de América, situada en C/ López de Hoyos esquina Corazón de María. Llámanos al o escríbenos a. Por favor, facilita la referencia 210150 para agilizar el proceso. Estaremos encantados de atenderte.",True,good,False,True,6015.0,True,True,False,False,[],False,False,800000.0,€,,,,flat,"Prosperidad, Madrid",Piso,Top,
108916629,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/ff/85/1359176916.webp,mt212622,33,7,1950000.0,duplex,sale,190.0,True,2,2,Barrio Ciudad Jardín,Madrid,Madrid,Chamartín,es,Ciudad Jardín,40.4498792,-3.6714716,False,https://www.idealista.com/inmueble/108916629/,"Ático-Dúplex en Ciudad Jardín Gilmar presenta esta exclusiva vivienda, que representa la fusión perfecta entre la tranquilidad y privacidad de una urbanización cerrada y el privilegio de residir en una de las áreas más codiciadas de Madrid, ofreciendo espacios exteriores únicos para el ocio y la relajación. La propiedad incluye en el precio dos plazas de garaje y un trastero, aportando una solución completa para sus necesidades de almacenamiento y estacionamiento. Situado en una de las zonas más exclusivas de Madrid, este extraordinario ático dúplex destaca por su diseño arquitectónico premiado y sus acabados de primer nivel. De estilo contemporáneo y luminosidad excepcional, sus grandes ventanales permiten la entrada de luz natural, realzando las vistas panorámicas que se extienden sobre la ciudad. Con una superficie total de aproximadamente 190 m² distribuidos en dos plantas, esta residencia ofrece el equilibrio perfecto entre confort, privacidad y elegancia. La planta principal alberga un amplio salón que se abre a una generosa terraza y equipada con zona de comedor y barbacoa, ideal para el disfrute al aire libre y el entretenimiento. La cocina, integrada y equipada con electrodomésticos de alta gama, cuenta con acceso directo a un práctico tendedero. Complementan esta planta un dormitorio adicional y un baño completo, pensados para la comodidad diaria. En la planta superior se encuentra el dormitorio principal, que incluye un baño en suite y un vestidor de diseño, con salida a una terraza privada donde se ubica una piscina exclusiva. Este espacio se convierte en un auténtico oasis urbano para el relax, con vistas despejadas y un ambiente que combina funcionalidad y sofisticación. Los materiales nobles, el estilo minimalista y una iluminación cuidadosamente diseñada contribuyen a crear un ambiente cálido y refinado. Calidades y equipamiento: Carpintería con alta eficiencia térmica y acústica. Persianas motorizadas de última generación. Sistema domótico integral para el control inteligente de climatización e iluminación. Suelo radiante con calefacción y aire acondicionado, con control individualizado. Zonas comunes: Piscina exterior climatizada. Gimnasio equipado con tecnología avanzada.",True,good,False,True,10263.0,True,True,False,False,[],False,False,1950000.0,€,True,True,,flat,"Ciudad Jardín, Madrid",Dúplex,Top,duplex
